date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-07,Chicago Bulls @ Milwaukee Bucks,225.0,YES,83,83,236.0,True,WIN,Elite offense (avg ORtg: 117.7) | Fast pace (102.0) | Both teams neutral form
2025-10-27,Orlando Magic @ Philadelphia 76ers,226.0,YES,83,83,260.0,True,WIN,Elite offense (avg ORtg: 117.9) | Fast pace (101.7) | Both teams neutral form
2025-10-27,Cleveland Cavaliers @ Detroit Pistons,222.5,MAYBE,74,74,211.0,False,SKIPPED,Elite offense (avg ORtg: 117.2) | Fast pace (101.3) | Detroit Pistons hot (WARM)
2025-10-27,Atlanta Hawks @ Chicago Bulls,219.5,MAYBE,77,77,251.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Fast pace (101.7) | Atlanta Hawks hot (HOT)
2025-10-27,Portland Trail Blazers @ Los Angeles Lakers,224.5,MAYBE,70,70,230.0,True,SKIPPED,Elite offense (avg ORtg: 116.7) | Fast pace (102.7) | Both teams neutral form
2025-10-27,Brooklyn Nets @ Houston Rockets,219.0,MAYBE,72,72,246.0,True,SKIPPED,Elite offense (avg ORtg: 117.2) | Above average pace (98.6) | Houston Rockets hot (HOT)
2025-10-27,Oklahoma City Thunder @ Dallas Mavericks,214.5,NO,40,40,195.0,False,SKIPPED,Fast pace (100.8) | Good buffer (15.2 pts above minimum) | Dallas Mavericks on back-to-back
2025-10-27,Phoenix Suns @ Utah Jazz,213.5,NO,57,57,272.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Above average pace (99.4) | Utah Jazz hot (HOT)
2025-10-27,Denver Nuggets @ Minnesota Timberwolves,228.0,NO,68,68,241.0,True,SKIPPED,Elite offense (avg ORtg: 121.2) | Above average pace (99.7) | Both teams neutral form
2025-10-27,Memphis Grizzlies @ Golden State Warriors,216.0,NO,55,55,249.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Fast pace (101.2) | Good buffer (15.2 pts above minimum)
2025-10-27,Portland Trail Blazers @ Los Angeles Lakers,224.5,MAYBE,70,70,230.0,True,SKIPPED,Elite offense (avg ORtg: 116.7) | Fast pace (102.7) | Both teams neutral form
2025-10-27,Atlanta Hawks @ Chicago Bulls,219.5,MAYBE,77,77,251.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Fast pace (101.7) | Atlanta Hawks hot (HOT)
2025-10-27,Orlando Magic @ Philadelphia 76ers,226.0,YES,83,83,260.0,True,WIN,Elite offense (avg ORtg: 117.9) | Fast pace (101.7) | Both teams neutral form
2025-10-27,Memphis Grizzlies @ Golden State Warriors,216.0,NO,55,55,249.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Fast pace (101.2) | Good buffer (15.2 pts above minimum)
2025-10-27,Toronto Raptors @ San Antonio Spurs,223.5,MAYBE,74,74,224.0,True,SKIPPED,Elite offense (avg ORtg: 118.3) | Fast pace (100.2) | Toronto Raptors hot (HOT)
2025-10-27,Denver Nuggets @ Minnesota Timberwolves,228.0,NO,68,68,241.0,True,SKIPPED,Elite offense (avg ORtg: 121.2) | Above average pace (99.7) | Both teams neutral form
2025-10-27,Oklahoma City Thunder @ Dallas Mavericks,214.5,NO,40,40,195.0,False,SKIPPED,Fast pace (100.8) | Good buffer (15.2 pts above minimum) | Dallas Mavericks on back-to-back
2025-10-27,Toronto Raptors @ San Antonio Spurs,223.5,MAYBE,74,74,224.0,True,SKIPPED,Elite offense (avg ORtg: 118.3) | Fast pace (100.2) | Toronto Raptors hot (HOT)
