date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-10-27,Toronto Raptors @ San Antonio Spurs,222.0,NO,60,60,224.0,True,SKIPPED,Elite offense (avg ORtg: 118.2) | Above average pace (99.7) | Both teams neutral form
2025-10-27,Phoenix Suns @ Utah Jazz,220.5,YES,87,87,272.0,True,WIN,Elite offense (avg ORtg: 116.1) | Fast pace (100.4) | Utah Jazz hot (WARM)
2025-10-27,Phoenix Suns @ Utah Jazz,220.5,YES,87,87,272.0,True,WIN,Elite offense (avg ORtg: 116.1) | Fast pace (100.4) | Utah Jazz hot (WARM)
2025-10-27,Cleveland Cavaliers @ Detroit Pistons,223.5,MAYBE,70,70,211.0,False,SKIPPED,Elite offense (avg ORtg: 117.3) | Fast pace (101.0) | Both teams neutral form
2025-10-27,Memphis Grizzlies @ Golden State Warriors,213.0,NO,67,67,249.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Fast pace (100.2) | Memphis Grizzlies hot (WARM)
2025-10-27,Orlando Magic @ Philadelphia 76ers,223.0,YES,80,80,260.0,True,WIN,Elite offense (avg ORtg: 116.9) | Fast pace (100.4) | Both teams neutral form
2025-10-27,Brooklyn Nets @ Houston Rockets,215.5,NO,65,65,246.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Average pace (97.1) | Brooklyn Nets hot (WARM)
2025-10-27,Oklahoma City Thunder @ Dallas Mavericks,218.5,NO,47,47,195.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.8) | Fast pace (100.9) | Moderate buffer (14.9 pts above minimum)
2025-11-01,Orlando Magic @ Washington Wizards,217.5,NO,60,60,219.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.8) | Fast pace (101.3) | Both teams neutral form
2025-11-01,Orlando Magic @ Washington Wizards,217.5,NO,60,60,219.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.8) | Fast pace (101.3) | Both teams neutral form
2025-11-01,Golden State Warriors @ Indiana Pacers,209.5,NO,40,40,223.0,True,SKIPPED,Fast pace (100.5) | Good buffer (15.1 pts above minimum) | Indiana Pacers on back-to-back
2025-11-01,Minnesota Timberwolves @ Charlotte Hornets,221.0,MAYBE,74,74,227.0,True,SKIPPED,Elite offense (avg ORtg: 117.2) | Above average pace (99.5) | Charlotte Hornets hot (WARM)
2025-11-01,Sacramento Kings @ Milwaukee Bucks,213.0,NO,64,64,268.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.5) | Fast pace (100.4) | Sacramento Kings hot (WARM)
2025-11-01,Golden State Warriors @ Indiana Pacers,209.5,NO,40,40,223.0,True,SKIPPED,Fast pace (100.5) | Good buffer (15.1 pts above minimum) | Indiana Pacers on back-to-back
2025-11-01,Houston Rockets @ Boston Celtics,222.0,NO,65,65,229.0,True,SKIPPED,Elite offense (avg ORtg: 122.1) | Average pace (96.2) | Boston Celtics hot (HOT)
