date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-10-31,New York Knicks @ Chicago Bulls,226.5,YES,83,83,260.0,True,WIN,Elite offense (avg ORtg: 118.3) | Fast pace (101.6) | Both teams neutral form
2025-11-10,Atlanta Hawks @ Los Angeles Clippers,214.0,NO,67,67,207.0,False,SKIPPED,Strong offense (avg ORtg: 115.3) | Above average pace (98.8) | Atlanta Hawks hot (HOT)
2025-11-10,Minnesota Timberwolves @ Utah Jazz,222.5,YES,82,82,233.0,True,WIN,Elite offense (avg ORtg: 116.0) | Fast pace (101.2) | Utah Jazz hot (WARM)
2025-11-10,New Orleans Pelicans @ Phoenix Suns,212.5,NO,55,55,219.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Above average pace (99.1) | Good buffer (15.2 pts above minimum)
2025-11-10,Milwaukee Bucks @ Dallas Mavericks,211.0,NO,40,40,230.0,True,SKIPPED,Fast pace (101.2) | Good buffer (15.0 pts above minimum) | Milwaukee Bucks on back-to-back
2025-11-10,San Antonio Spurs @ Chicago Bulls,224.5,YES,83,83,238.0,True,WIN,Elite offense (avg ORtg: 117.2) | Fast pace (101.3) | Both teams neutral form
2025-11-10,Los Angeles Lakers @ Charlotte Hornets,218.5,MAYBE,77,77,232.0,True,SKIPPED,Elite offense (avg ORtg: 116.8) | Above average pace (99.7) | Charlotte Hornets hot (HOT)
2025-11-10,Washington Wizards @ Detroit Pistons,217.5,NO,58,58,272.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.6) | Fast pace (101.4) | Both teams neutral form
2025-11-10,Cleveland Cavaliers @ Miami Heat,227.5,MAYBE,75,75,278.0,True,SKIPPED,Elite offense (avg ORtg: 116.6) | Fast pace (103.5) | Good buffer (15.2 pts above minimum)
2025-11-10,Milwaukee Bucks @ Dallas Mavericks,211.0,NO,40,40,230.0,True,SKIPPED,Fast pace (101.2) | Good buffer (15.0 pts above minimum) | Milwaukee Bucks on back-to-back
2025-11-10,Atlanta Hawks @ Los Angeles Clippers,214.0,NO,67,67,207.0,False,SKIPPED,Strong offense (avg ORtg: 115.3) | Above average pace (98.8) | Atlanta Hawks hot (HOT)
2025-11-10,Minnesota Timberwolves @ Utah Jazz,222.5,YES,82,82,233.0,True,WIN,Elite offense (avg ORtg: 116.0) | Fast pace (101.2) | Utah Jazz hot (WARM)
2025-11-10,New Orleans Pelicans @ Phoenix Suns,212.5,NO,55,55,219.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Above average pace (99.1) | Good buffer (15.2 pts above minimum)
2025-11-10,San Antonio Spurs @ Chicago Bulls,224.5,YES,83,83,238.0,True,WIN,Elite offense (avg ORtg: 117.2) | Fast pace (101.3) | Both teams neutral form
2025-11-10,Cleveland Cavaliers @ Miami Heat,227.5,MAYBE,75,75,278.0,True,SKIPPED,Elite offense (avg ORtg: 116.6) | Fast pace (103.5) | Good buffer (15.2 pts above minimum)
2025-11-10,Portland Trail Blazers @ Orlando Magic,222.5,YES,90,90,227.0,True,WIN,Elite offense (avg ORtg: 117.0) | Fast pace (100.9) | Both teams hot (WARM/WARM)
2025-11-10,Washington Wizards @ Detroit Pistons,217.5,NO,58,58,272.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.6) | Fast pace (101.4) | Both teams neutral form
2025-11-10,Los Angeles Lakers @ Charlotte Hornets,218.5,MAYBE,77,77,232.0,True,SKIPPED,Elite offense (avg ORtg: 116.8) | Above average pace (99.7) | Charlotte Hornets hot (HOT)
2025-11-10,Portland Trail Blazers @ Orlando Magic,222.5,YES,90,90,227.0,True,WIN,Elite offense (avg ORtg: 117.0) | Fast pace (100.9) | Both teams hot (WARM/WARM)
2025-11-17,Dallas Mavericks @ Minnesota Timberwolves,214.0,NO,40,40,216.0,True,SKIPPED,Fast pace (101.5) | Good buffer (15.1 pts above minimum) | Dallas Mavericks on back-to-back
2025-11-17,Charlotte Hornets @ Toronto Raptors,221.5,YES,95,95,218.0,False,LOSS,Elite offense (avg ORtg: 117.9) | Fast pace (100.0) | Both teams hot (HOT/HOT)
2025-11-17,New York Knicks @ Miami Heat,229.0,MAYBE,75,75,228.0,False,SKIPPED,Elite offense (avg ORtg: 118.7) | Fast pace (102.7) | Good buffer (15.2 pts above minimum)
2025-11-17,Los Angeles Clippers @ Philadelphia 76ers,215.0,NO,50,50,218.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Above average pace (98.2) | Good buffer (15.1 pts above minimum)
2025-11-17,Indiana Pacers @ Detroit Pistons,215.0,NO,63,63,239.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Fast pace (101.0) | Both teams neutral form
2025-11-17,Milwaukee Bucks @ Cleveland Cavaliers,220.5,MAYBE,70,70,224.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Fast pace (100.7) | Both teams neutral form
2025-11-17,Milwaukee Bucks @ Cleveland Cavaliers,220.5,MAYBE,70,70,224.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Fast pace (100.7) | Both teams neutral form
2025-11-17,Chicago Bulls @ Denver Nuggets,230.0,MAYBE,78,78,257.0,True,SKIPPED,Elite offense (avg ORtg: 120.1) | Fast pace (101.2) | Both teams neutral form
2025-11-17,Oklahoma City Thunder @ New Orleans Pelicans,218.0,NO,50,50,235.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Above average pace (99.2) | Good buffer (15.2 pts above minimum)
2025-11-17,Oklahoma City Thunder @ New Orleans Pelicans,218.0,NO,50,50,235.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Above average pace (99.2) | Good buffer (15.2 pts above minimum)
2025-11-17,Chicago Bulls @ Denver Nuggets,230.0,MAYBE,78,78,257.0,True,SKIPPED,Elite offense (avg ORtg: 120.1) | Fast pace (101.2) | Both teams neutral form
2025-11-17,Dallas Mavericks @ Minnesota Timberwolves,214.0,NO,40,40,216.0,True,SKIPPED,Fast pace (101.5) | Good buffer (15.1 pts above minimum) | Dallas Mavericks on back-to-back
2025-11-17,Indiana Pacers @ Detroit Pistons,215.0,NO,63,63,239.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Fast pace (101.0) | Both teams neutral form
2025-11-17,Los Angeles Clippers @ Philadelphia 76ers,215.0,NO,50,50,218.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Above average pace (98.2) | Good buffer (15.1 pts above minimum)
2025-11-17,New York Knicks @ Miami Heat,229.0,MAYBE,75,75,228.0,False,SKIPPED,Elite offense (avg ORtg: 118.7) | Fast pace (102.7) | Good buffer (15.2 pts above minimum)
2025-11-17,Charlotte Hornets @ Toronto Raptors,221.5,YES,95,95,218.0,False,LOSS,Elite offense (avg ORtg: 117.9) | Fast pace (100.0) | Both teams hot (HOT/HOT)
2025-11-24,Dallas Mavericks @ Miami Heat,218.5,NO,37,37,208.0,False,SKIPPED,Fast pace (103.9) | Moderate buffer (14.9 pts above minimum) | Miami Heat on back-to-back
2025-11-24,Cleveland Cavaliers @ Toronto Raptors,224.0,MAYBE,77,77,209.0,False,SKIPPED,Elite offense (avg ORtg: 118.0) | Fast pace (101.1) | Toronto Raptors hot (HOT)
