away_team,home_team,game,minimum_line,away_expected,home_expected,total_expected,game_tempo,simulations,hits,mc_probability,avg_simulated_total,std_simulated_total,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,mc_decision,confidence_level,flag_count,floor_safe,risk_flags,away_ortg,away_drtg,home_ortg,home_drtg,flags,away_injuries,home_injuries,actual_total,hit,estimated_vegas
New Orleans Pelicans,Dallas Mavericks,New Orleans Pelicans @ Dallas Mavericks,200.1,123.0,131.1,254.0,100.6,1000,993,99.3,250.3,19.7,217.9,224.5,237.0,263.6,276.1,283.1,MAYBE,MULTI_FLAG_HIGH,3,True,"['⚠️ Both teams mediocre offense (110.9 vs 105.3)', '🎲 New Orleans Pelicans high variance (±13.0)', '🎲 Dallas Mavericks high variance (±13.1)']",110.9,122.3,105.3,111.1,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': True, 'high_variance': np.True_, 'injury_concern': False}",[],[],233.0,True,220.1
Minnesota Timberwolves,Phoenix Suns,Minnesota Timberwolves @ Phoenix Suns,216.7,133.2,133.9,267.1,100.0,1000,997,99.7,264.1,17.5,233.8,241.6,252.3,276.0,286.0,293.1,STRONG_YES,ELITE,0,True,[],118.1,112.8,117.4,113.7,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],227.0,True,236.7
Denver Nuggets,Houston Rockets,Denver Nuggets @ Houston Rockets,226.1,136.8,140.9,277.7,98.2,1000,995,99.5,273.8,16.5,243.2,253.1,263.1,285.6,294.3,298.3,YES,HIGH_DESPITE_FLAG,1,True,['🐢 Houston Rockets slow pace (96.4)'],124.3,114.3,124.2,112.9,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],221.0,False,246.1
Oklahoma City Thunder,Utah Jazz,Oklahoma City Thunder @ Utah Jazz,220.7,145.9,120.6,266.5,100.4,1000,969,96.9,261.6,21.2,224.5,234.6,247.8,276.7,289.0,295.1,MAYBE,FLAGS_PENALTY,2,True,"['🛡️ Oklahoma City Thunder elite defense (DRtg: 104.0)', '🎲 Utah Jazz high variance (±17.1)']",120.7,104.0,114.0,121.2,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': True, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],256.0,True,240.7
Indiana Pacers,Cleveland Cavaliers,Indiana Pacers @ Cleveland Cavaliers,209.3,121.5,142.4,263.9,101.2,1000,997,99.7,260.2,18.1,228.2,236.1,248.0,273.4,282.0,288.6,YES,HIGH_DESPITE_FLAG,1,True,['🎲 Cleveland Cavaliers high variance (±12.8)'],107.5,119.5,116.5,112.6,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],229.0,True,229.3
Brooklyn Nets,Boston Celtics,Brooklyn Nets @ Boston Celtics,203.8,124.1,144.4,268.6,97.4,1000,998,99.8,264.3,16.8,234.0,241.7,253.7,276.3,284.9,288.7,YES,HIGH_DESPITE_FLAGS,2,True,"['🐢 BOTH teams slow pace (97.5 & 95.9)', '🎲 Boston Celtics high variance (±12.3)']",112.0,122.8,119.5,114.7,"{'slow_pace_game': True, 'both_slow_pace': True, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],218.0,True,223.8
Oklahoma City Thunder,Utah Jazz,Oklahoma City Thunder @ Utah Jazz,220.7,145.9,120.6,266.5,100.4,1000,964,96.4,262.8,21.5,225.3,235.0,248.5,277.5,289.5,298.3,MAYBE,FLAGS_PENALTY,2,True,"['🛡️ Oklahoma City Thunder elite defense (DRtg: 104.0)', '🎲 Utah Jazz high variance (±17.1)']",120.7,104.0,114.0,121.2,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': True, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],256.0,True,240.7
Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers @ Golden State Warriors,215.1,132.5,138.4,270.9,101.1,1000,997,99.7,267.9,18.6,236.7,242.8,255.1,281.4,292.4,297.0,STRONG_YES,ELITE,0,True,[],116.2,118.2,114.5,113.6,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],250.0,True,235.1
Denver Nuggets,Houston Rockets,Denver Nuggets @ Houston Rockets,226.1,136.8,140.9,277.7,98.2,1000,992,99.2,274.1,17.2,244.6,251.6,263.1,286.9,295.7,299.4,YES,HIGH_DESPITE_FLAG,1,True,['🐢 Houston Rockets slow pace (96.4)'],124.3,114.3,124.2,112.9,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],221.0,False,246.1
Minnesota Timberwolves,Phoenix Suns,Minnesota Timberwolves @ Phoenix Suns,216.7,133.2,133.9,267.1,100.0,1000,992,99.2,264.1,17.7,235.1,240.6,252.4,276.9,286.4,292.8,STRONG_YES,ELITE,0,True,[],118.1,112.8,117.4,113.7,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],227.0,True,236.7
